"github repo","repo description","HN post title","HN url","HN post date","relevancy score","num similar users","total user score","total stars"
stefanbuck/awesome-browser-extensions-for-github,"A collection of awesome browser extensions for GitHub.","Awesome browser extensions for GitHub",https://github.com/stefanbuck/awesome-browser-extensions-for-github,"2016-02-13 09:37:00",0.5822821688832028,18,3.455783064317705,378
kirbyfan64/rejit,"A work-in-progress JIT-powered regex engine","Rejit: a work-in-progress JIT-powered regex engine",https://github.com/kirbyfan64/rejit,"2016-02-14 06:28:00",0.5820103424189954,12,2.0523782964246804,34
misterGF/echo,"Echo converts HTML tables into JSON/CSV objects. Use it to make html data easy to transport.","Echo – Convert HTML Tables to JSON/CSV Files",https://github.com/misterGF/echo,"2016-02-12 19:08:00",0.5351601412991722,15,2.3033640834399787,74
kamy22/py-serializable,"Python serializer class (can be extended by other classes).","Show HN: Easily serialize and deserialize Python objects",https://github.com/kamy22/py-serializable,"2016-02-15 21:16:00",0.5332216265136892,2,0.3696010670315518,2
sindresorhus/refined-github,"Chrome extension that simplifies the GitHub interface and adds useful features","Refined GitHub: A Chrome extension that simplifies the interface, adds features",https://github.com/sindresorhus/refined-github,"2016-02-15 16:57:00",0.5314149450613849,16,2.6410330615595203,144
sindresorhus/refined-github,"Chrome extension that simplifies the GitHub interface and adds useful features","Refined GitHub: Chrome extension simplifies GitHub interface, adds features",https://github.com/sindresorhus/refined-github#-refined-github,"2016-02-21 18:20:00",0.5314149450613849,16,2.6410330615595203,144
ncb000gt/node.bcrypt.js,"bcrypt for NodeJs","Bcrypt for NodeJs: async recommended",https://github.com/ncb000gt/node.bcrypt.js#async-recommended,"2016-02-17 21:03:00",0.5287926632414031,28,3.9714605759967387,1827
tallesl/Rich-Hickey-fanclub,"""every time I watch one of his talks I feel like someone has gone in and organized my brain""","Rich Hickey Fanclub",https://github.com/tallesl/Rich-Hickey-fanclub,"2016-02-26 18:53:00",0.522121067611778,19,3.455783064317705,749
fisherman/fisherman,"A fast, modern plugin manager for Fish","Microsecond shell start time, fantastic plugin manager for Fish",https://github.com/fisherman/fisherman/blob/master/README.md#performance,"2016-02-07 06:07:00",0.509601936351073,22,3.386351225289105,769
fisherman/fisherman,"A fast, modern plugin manager for Fish","Code-of-Conduct VS No-Code-of-Conduct?",https://github.com/fisherman/fisherman/issues/83#issuecomment-181138839,"2016-02-07 15:22:00",0.509601936351073,22,3.386351225289105,769
rein/lyrica,"A safe, comprehensible and efficient PID 1/init replacement written in OCaml.","A safe, comprehensible and efficient PID 1/init replacement written in OCaml",https://github.com/rein/lyrica,"2016-02-12 20:14:00",0.5083323340549795,11,2.201451787037468,76
matryer/silk,"Markdown based document-driven RESTful API testing.","Markdown based document-driven RESTful API testing",https://github.com/matryer/silk,"2016-02-21 17:54:00",0.469867575586869,19,2.8621090064401846,442
CaptainCrowbar/unicorn-lib,"Unicode library for C++","Unicorn: C++ Unicode string library",https://github.com/CaptainCrowbar/unicorn-lib,"2016-02-12 19:02:00",0.4666772898198828,13,2.0787427241321095,86
rofrischmann/react-look,"Advanced & Dynamic Component Styling for React and React Native. Use combined powers of both CSS and JavaScript powered by useful Plugins, Mixins and Developer Tools.","React Look: advanced, dynamic component styling for React (+Native)",https://github.com/rofrischmann/react-look,"2016-02-16 21:25:00",0.4492143533235347,16,2.60910097264751,333
bobziuchkovski/writ,"A flexible command and option parser for Go","Writ – A flexible command and option parser for Go",https://github.com/bobziuchkovski/writ,"2016-02-12 22:05:00",0.4441537103431486,12,2.3089317446445596,181
scripting/river5,"A river-of-news RSS aggregator in JS running in Node.","River5: A river-of-news RSS aggregator in JavaScript running in Node",https://github.com/scripting/river5,"2016-02-08 16:00:00",0.43467494885144353,8,1.1149192307611364,13
toubou91/percircle,":o: CSS percentage circle built with jQuery","Percircle – CSS percentage circle built with jQuery",https://github.com/toubou91/percircle,"2016-02-16 08:55:00",0.42776713734855526,16,2.0584943260911617,123
frankmcsherry/blog,"Some notes on things I find interesting and important.","Differential privacy for dummies",https://github.com/frankmcsherry/blog/blob/master/posts/2016-02-03.md,"2016-02-06 22:52:00",0.4040327616534376,17,2.160406622493672,210
frankmcsherry/blog,"Some notes on things I find interesting and important.","Differential privacy: An illustrated primer",https://github.com/frankmcsherry/blog/blob/master/posts/2016-02-06.md,"2016-02-12 19:06:00",0.4040327616534376,17,2.160406622493672,210
FlexMonkey/ValentinesSwift,"You love Swift & Swift loves you!","Valentine's Heart Swift Playground",https://github.com/FlexMonkey/ValentinesSwift,"2016-02-13 01:13:00",0.40012411936059256,3,0.43958127452205253,3
caioariede/pyq,"A tool to search for Python code using jQuery-like selectors","A tool to search for Python code using jQuery-like selectors",https://github.com/caioariede/pyq,"2016-02-08 11:49:00",0.38839915330562136,7,1.0768711121826455,16
getquill/quill,"Compile-time Language Integrated Query for Scala","Comparison between Quill and other Cassandra libraries in Scala",https://github.com/getquill/quill/blob/master/CASSANDRA.md,"2016-02-19 20:13:00",0.3879426290076303,12,2.271431994527969,349
iovisor/bcc,"BCC - Tools for BPF-based Linux IO analysis, networking, monitoring, and more","BCC – Tools for BPF-based Linux IO analysis, networking, monitoring, and more",https://github.com/iovisor/bcc,"2016-02-18 20:34:00",0.38129341615875073,14,2.250635228025121,366
ryukinix/labyrinth-explorer,"Random labyrinth maker with visual exploring using Pygame","Python Labyrinth Generator",https://github.com/ryukinix/labyrinth-explorer,"2016-02-08 13:59:00",0.37816082467898227,2,0.2621211094244603,2
lucazd/zekai,"A coffee-like programming language in 150 lines.","Zekai, a coffee-like programming language in 150 lines",https://github.com/lucazd/zekai,"2016-02-12 18:52:00",0.37816082467898227,2,0.2621211094244603,2
soulmachine/machine-learning-cheat-sheet,"Classical equations and diagrams in machine learning","135 Page Machine learning cheat sheet",https://github.com/soulmachine/machine-learning-cheat-sheet,"2016-02-08 13:23:00",0.3553673143394942,14,2.486391909742152,1093
fjserna/CVE-2015-7547,"Proof of concept for CVE-2015-7547","Poc for CVE-2015-7547",https://github.com/fjserna/CVE-2015-7547,"2016-02-16 21:52:00",0.34523487903498534,10,1.8221892759122305,196
shekhargulati/52-technologies-in-2016,"Let's learn a new technology every week. A new technology blog every Sunday in 2016.","Building a Lightweight Scala REST API Client with OkHttp",https://github.com/shekhargulati/52-technologies-in-2016/blob/master/06-okhttp/README.md,"2016-02-07 08:00:00",0.3416865048065748,13,2.056472079313786,411
shekhargulati/52-technologies-in-2016,"Let's learn a new technology every week. A new technology blog every Sunday in 2016.","Hugo: A Modern WebSite Engine That Just Works",https://github.com/shekhargulati/52-technologies-in-2016/blob/master/07-hugo/README.md,"2016-02-14 14:37:00",0.3416865048065748,13,2.056472079313786,411
imjacobclark/ngaas,"Name generator as a service","Show HN: Name generator as a service",https://github.com/imjacobclark/ngaas,"2016-02-08 08:59:00",0.34012499556959874,1,0.23575668171703124,2
